route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10232,TL,256,FOLKSTONE WY/WHITBY ESTATE/SPURAWAY, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
11201,TL,033,29 AVE STN/ UBC, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt033.pdf, , 
11202,TL,042,ALMA/SPANISH BANKS, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt042.pdf, , 
11692,TL,364,LANGLEY CTR/ SCOTTSDALE EX, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt364.pdf, , 
11693,TL,388,22ST STN/CARVOLTH EXCH, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt388.pdf, , 
11695,TL,125,PATTERSON STN/BCIT, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt125.pdf, , 
11696,TL,609,TSAWWASSEN FIRST NATION/SOUTH DELTA, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt609.pdf, , 
12940,TL,595,MAPLE MEADOWS STN/LANGLEY CENTRE, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt595.pdf, , 
13684,TL,C94,RICHMOND OVAL/BRIGHOUSE STN, ,3,http://infomaps.translink.ca/Public_Timetables/141/ttC94.pdf, , 
13686,TL,CANADA LINE SKYTRAIN,CANADA LINE SKYTRAIN, ,1,http://infomaps.translink.ca/Public_Timetables/SkyTrain.pdf,007c9f,FFFFFF
16717,TL,209,UPPER LYNN VALLEY/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt209.pdf, , 
16718,TL,014,HASTINGS/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt014.pdf, , 
16719,TL,C9,NEW WESTMINSTER STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/141/ttC9.pdf, , 
17707,TL,337,FRASER HEIGHTS/GUILDFORD/SURREY CTR, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt337.pdf, , 
18213,TL,231,HARBOURSIDE/LONSDALE QUAY, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt231.pdf, , 
18705,TL,531,WHITE ROCK CENTRE/WILLOWBROOK, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt531.pdf, , 
20667,TL,555,CARVOLTH EXCH / LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt555.pdf,,
22143,TL,096,GUILDFORD EX/ NEWTON EX (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/141/tt096.pdf,d04110,FFFFFF
22638,TL,188,COQUITLAM CENTRAL STN/PORT COQ STN, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt188.pdf,,
22639,TL,227,LYNN VALLEY CENTRE/PHIBBS EXCHANGE, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt227.pdf,,
22640,TL,C18,WEST MALL/UBC EXCHANGE, ,3,http://infomaps.translink.ca/Public_Timetables/141/ttC18.pdf,,
23384,TL,503,ALDERGROVE/SURREY CENTRAL STN, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt503.pdf,,
29038,TL,342,LANGLEY CENTRE/NEWTON EXCHANGE, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt342.pdf,,
29039,TL,864,LORD TWEEDSMUIR SCHOOL, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt864.pdf,,
29040,TL,840,BROOKSWOOD SCHOOL, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt840.pdf,,
30036,TL,170,PT COQUITLAM STN/PT COQUITLAM SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt170.pdf,,
30037,TL,171,COQUITLAM CENTRAL STN/FREMONT, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt171.pdf,,
30038,TL,172,COQUITLAM CENTRAL STN/RIVERSIDE, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt172.pdf,,
30039,TL,173,COQUITLAM CENTRAL STN/CEDAR, ,3,http://infomaps.translink.ca/Public_Timetables/141/tt173.pdf,,
